id,category,category_label,author,title,subtitle,price_usd,price_usd_cents,price_inr,checkout_type,gumroad_permalink,gumroad_url,whop_plan,superprofile_url,pain_point,takeaways,excerpt,preview_pdf_url,deliverable_file_path,file_size_mb
care-01,care,Care Collection • Hinglish Flagship,Sanjay Shharma,Hum Ladte Nahi Par Baat Hi Nahi Karte,Navigating Silent Emotional Disconnect in Modern Indian Marriages,$9.99,999,₹899,whop_superprofile,hum-ladte-nahi-par-baat-hi-nahi-karte,https://adorisedigital.gumroad.com/l/hum-ladte-nahi,plan_care_01,https://superprofile.bio/adorisedigital,"When fighting stops, but silence takes over. Living like roommates in the same house without emotional connection.",Why silence is more dangerous to a relationship than frequent arguments. | Breaking the 10-year communication freeze without awkward confrontation. | De-escalating emotional distance through structured micro-conversations.,"Ghar mein koi cheekhta nahi hai. Bartan nahi toot te. Par shaam ko jab dono ek hi sofe par baithte hain, toh beech mein hazaron kilometer ka sannata hota hai. Ye ladai nahi hai—ye thakan hai. Aur is thakan ko todne ke liye pehla kadam sharminda hona chhodna hai.",/previews/Care Collection Lead magnets/Hum_Ladte_Nahi_Par_Baat_Hi_Nahi_Karte_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\Hum_Ladte_Nahi_Par_Baat_Hi_Nahi_Karte_bundle.zip,1.92
care-02,care,Care Collection • Empathy & Aging,Sanjay Shharma,The Quiet Care,Sustaining Compassion and Emotional Boundaries Through Caregiver Fatigue,$9.99,999,₹899,whop,the-quiet-care,https://adorisedigital.gumroad.com/l/the-quiet-care,plan_care_02,https://superprofile.bio/adorisedigital,The overwhelming guilt and chronic exhaustion of caring for aging parents while holding down a career and family.,Releasing the chronic guilt of feeling tired or impatient. | How to set loving emotional boundaries without neglecting parental dignity. | Daily micro-reset routines to protect your own mental and physical health.,"Nobody prepares you for the day the roles reverse—when you become the parent to the very people who once shielded you from the world. It is an honor, but it is also heavy. Learning to breathe without guilt is not selfish; it is survival.",/previews/Care Collection Lead magnets/The_Quiet_Care_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\The_Quiet_Care_bundle(1).zip,8.13
care-03,care,Care Collection • Relationship Health,Sanjay Shharma,"Still Married, Just Silent",Breaking Through Decade-Long Emotional Cold Wars Without Starting a Fire,$9.99,999,₹899,whop,still-married-just-silent,https://adorisedigital.gumroad.com/l/Still_Married_Just_Silent,plan_care_03,https://superprofile.bio/adorisedigital,"Couples living functional, polite, yet completely detached lives under one roof.",The psychology of the defensive emotional turtle shell. | Re-establishing eye contact and emotional vulnerability after years of drift. | Practical exercises to rebuild shared laughter and collaborative presence.,"Politeness can be the coldest form of abandonment. When you stop asking how their day was because you already know the mechanical response, the marriage has entered emotional hibernation. Here is how to light a gentle hearth.",/previews/Care Collection Lead magnets/Still_Married_Just_Silent_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\Still_Married_Just_Silent_bundle(2).zip,7.98
care-04,care,Care Collection • Dementia & Memory Care,Sanjay Shharma,When They Forget Your Name,"Navigating Dementia, Cognitive Decline, and the Ambiguous Grief of Slow Loss",$9.99,999,₹899,whop,when-they-forget-your-name,https://adorisedigital.gumroad.com/l/when-they-forget-your-name,plan_care_04,https://superprofile.bio/adorisedigital,The heartbreaking pain of looking into a parent's eyes when they no longer recognize who you are.,"Entering their reality instead of correcting their fading memory. | Navigating ambiguous loss—grieving someone who is physically still here. | Preserving dignity and connection through music, touch, and sensory comfort.","The first time your mother looks at you and politely asks who you are, your chest caves in. You cannot correct them back into your timeline. You must step gently into theirs.",/previews/Care Collection Lead magnets/When_They_Forget_Your_Name_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\When_They_Forget_Your_Name_bundle.zip,3.75
care-05,care,Care Collection • Bereavement & Healing,Sanjay Shharma,The Long Goodbye,Finding Grounded Strength When Terminal Illness Redefines Every Tomorrow,$9.99,999,₹899,whop,the-long-goodbye,https://adorisedigital.gumroad.com/l/the-long-goodbye,plan_care_05,https://superprofile.bio/adorisedigital,"Living in anticipatory grief while managing doctor visits, hospice care, and emotional collapse.",Navigating anticipatory grief without shutting down emotionally. | Having the unsaid conversations with courage and gentle presence. | Honoring every remaining ordinary moment without anxiety hijacking the room.,"Anticipatory grief is like mourning under a ticking clock. The secret is not pretending the clock does not exist, but filling each second with pure, uncomplicated presence.",/previews/Care Collection Lead magnets/The_Long_Goodbye_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\The_Long_Goodbye_bundle.zip,3.77
care-06,care,Care Collection • Reconnection,Sanjay Shharma,The Long Hello,"Rekindling Intimacy, Curiosity, and Shared Horizons After Life Calms Down",$9.99,999,₹899,whop,the-long-hello,https://adorisedigital.gumroad.com/l/the-long-hello,plan_care_06,https://superprofile.bio/adorisedigital,When children leave or careers stabilize and you look at your spouse wondering who they became.,"Rediscovering who your partner is today rather than who they were at 25. | Building new rituals of play, travel, and quiet shared discovery. | Transforming empty-nest silence into mutual artistic and emotional renaissance.","After thirty years of carpools, mortgages, and deadlines, the silence can be frightening. But that silence is not a void; it is a clean canvas waiting for a second introduction.",/previews/Care Collection Lead magnets/The_Long_Hello_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\The_Long_Hello_bundle.zip,14.58
care-07,care,Care Collection • Life Transitions,Sanjay Shharma,The Second Chapter,"Rebuilding Identity, Purpose, and Daily Joy After a Massive Life Disruption",$9.99,999,₹899,whop,the-second-chapter,https://adorisedigital.gumroad.com/l/The_Second_Chapter,plan_care_07,https://superprofile.bio/adorisedigital,"Starting over after divorce, career elimination, or sudden bereavement in your 40s, 50s, or 60s.","Untangling your self-worth from a role or relationship that ended. | Designing an autonomous personal operating system for daily peace. | Cultivating new community, physical energy, and joyful self-sufficiency.","When your world collapses, you realize your previous life was a stage play where you knew all your lines. Writing the next script is terrifying—until you realize you hold the pen.",/previews/Care Collection Lead magnets/The_Second_Chapter_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\The_Second_Chapter_bundle(2).zip,8.30
care-08,care,Care Collection • Midlife Love,Sanjay Shharma,The Second Honeymoon,"Reclaiming Romance, Vulnerability, and Deep Play in the Empty-Nest Era",$9.99,999,₹899,whop,the-second-honeymoon,https://adorisedigital.gumroad.com/l/the-second-honeymoon,plan_care_08,https://superprofile.bio/adorisedigital,Midlife couples who want romance back but feel clumsy or emotionally rusty.,Overcoming body insecurity and emotional hesitance after 50. | Planning micro-adventures that break the routine of domestic autopilot. | Deepening physical and emotional intimacy without pressure or performance.,"Romance in midlife is sweeter than in youth because it is shorn of pretension. It is two survivors looking across the table, choosing each other once again.",/previews/Care Collection Lead magnets/The_Second_Honeymoon_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\The_Second_Honeymoon_bundle.zip,14.94
care-09,care,Care Collection • Family Dynamics,Sanjay Shharma,The Last Sandwich,Surviving the Double Pressure of Raising Teens While Nursing Aging Parents,$9.99,999,₹899,whop,the-last-sandwich,https://adorisedigital.gumroad.com/l/the-last-sandwich,plan_care_09,https://superprofile.bio/adorisedigital,"The crushing stress of being pulled between rebellious children and ailing, dependent parents.",How to stop being the emotional punching bag for two opposing generations. | Delegation frameworks that protect your marriage and financial sanity. | Recognizing when sacrifice turns into toxic self-destruction.,"You are caught between college tuition and hospital bills, hormonal teenage mood swings and geriatric stubbornness. You cannot carry the world without breaking your back.",/previews/Care Collection Lead magnets/The_Last_Sandwich_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\The_Last_Sandwich_bundle.zip,3.45
care-10,care,Care Collection • Social Circles,Sanjay Shharma,The Friends Who Fade,Making Peace With Drifting Friendships and Building Intentional Adult Tribes,$9.99,999,₹899,whop,the-friends-who-fade,https://adorisedigital.gumroad.com/l/the-friends-who-fade,plan_care_10,https://superprofile.bio/adorisedigital,The quiet ache of realizing college or old childhood friends have vanished from your life.,"Distinguishing between seasonal friendships and lifelong anchors. | Releasing resentment toward friends who stopped calling after your crisis. | How adults in their 40s and 50s build deep, loyal, intellectual circles.","Not all friendships are meant to reach the finish line. Some people were companions for a chapter, not the whole book. Letting them go with gratitude is the highest form of maturity.",/previews/Care Collection Lead magnets/The_Friends_Who_Fade_Lead_Magnet.pdf,C:\Users\HOME_PC\Downloads\Mini Books\The Care Collection\The_Friends_Who_Fade_bundle.zip,4.22
